sys_ms,acc_x,acc_y,acc_z
46379,0.4205,-0.2749,0.8875
46402,0.4205,-0.2750,0.8875
46423,0.4205,-0.2750,0.8875
46447,0.4205,-0.2751,0.8876
46470,0.4205,-0.2751,0.8876
46487,0.4205,-0.2751,0.8877
46535,0.4205,-0.2749,0.8878
46558,0.4205,-0.2745,0.8881
46583,0.4204,-0.2744,0.8881
46606,0.4204,-0.2739,0.8882
46628,0.4204,-0.2737,0.8882
46645,0.4204,-0.2734,0.8882
46668,0.4204,-0.2732,0.8882
46692,0.4204,-0.2728,0.8882
46726,0.4204,-0.2723,0.8882
46749,0.4204,-0.2721,0.8882
46766,0.4204,-0.2720,0.8882
46788,0.4204,-0.2716,0.8881
46811,0.4204,-0.2715,0.8881
46835,0.4204,-0.2715,0.8879
46857,0.4204,-0.2714,0.8879
46883,0.4204,-0.2712,0.8879
46909,0.4204,-0.2712,0.8878
46927,0.4204,-0.2712,0.8878
46949,0.4203,-0.2714,0.8878
46981,0.4203,-0.2715,0.8878
47006,0.4203,-0.2716,0.8878
47029,0.4203,-0.2717,0.8878
47050,0.4202,-0.2720,0.8878
47069,0.4202,-0.2721,0.8878
47086,0.4202,-0.2722,0.8878
47109,0.4202,-0.2723,0.8878
47126,0.4202,-0.2725,0.8877
47190,0.4202,-0.2732,0.8877
47207,0.4202,-0.2733,0.8877
47226,0.4202,-0.2736,0.8877
47248,0.4202,-0.2739,0.8876
47270,0.4203,-0.2742,0.8876
47288,0.4203,-0.2744,0.8876
47310,0.4203,-0.2745,0.8876
47327,0.4204,-0.2747,0.8876
47380,0.4205,-0.2748,0.8873
47405,0.4205,-0.2748,0.8873
47427,0.4205,-0.2747,0.8873
47448,0.4207,-0.2744,0.8872
47465,0.4207,-0.2743,0.8872
47488,0.4207,-0.2740,0.8872
47513,0.4207,-0.2737,0.8871
47556,0.4208,-0.2732,0.8871
47579,0.4208,-0.2728,0.8871
47596,0.4208,-0.2726,0.8871
47619,0.4208,-0.2725,0.8871
47641,0.4208,-0.2722,0.8871
47661,0.4208,-0.2720,0.8872
47684,0.4208,-0.2719,0.8872
47706,0.4208,-0.2719,0.8872
47723,0.4208,-0.2717,0.8872
47740,0.4208,-0.2717,0.8872
47762,0.4208,-0.2716,0.8872
47810,0.4208,-0.2716,0.8873
47831,0.4208,-0.2716,0.8873
47855,0.4208,-0.2716,0.8873
47877,0.4208,-0.2716,0.8875
47900,0.4208,-0.2716,0.8876
47917,0.4208,-0.2716,0.8876
47934,0.4207,-0.2716,0.8877
47955,0.4207,-0.2717,0.8877
47996,0.4205,-0.2719,0.8878
48020,0.4204,-0.2720,0.8878
48042,0.4204,-0.2720,0.8878
48064,0.4204,-0.2721,0.8878
48083,0.4203,-0.2721,0.8878
48100,0.4203,-0.2722,0.8878
48133,0.4203,-0.2723,0.8877
48151,0.4203,-0.2725,0.8877
48200,0.4202,-0.2728,0.8876
48225,0.4203,-0.2732,0.8875
48248,0.4203,-0.2734,0.8875
48270,0.4203,-0.2738,0.8873
48287,0.4204,-0.2739,0.8873
48310,0.4204,-0.2742,0.8872
48332,0.4204,-0.2743,0.8872
48387,0.4207,-0.2744,0.8870
48412,0.4207,-0.2743,0.8870
48432,0.4208,-0.2740,0.8868
48453,0.4208,-0.2739,0.8868
48477,0.4208,-0.2738,0.8868
48499,0.4209,-0.2734,0.8868
48522,0.4209,-0.2733,0.8868
48546,0.4209,-0.2732,0.8868
48563,0.4208,-0.2729,0.8868
48585,0.4208,-0.2728,0.8868
48626,0.4208,-0.2727,0.8868
48649,0.4207,-0.2726,0.8870
48666,0.4207,-0.2725,0.8870
48689,0.4207,-0.2725,0.8870
48711,0.4205,-0.2725,0.8871
48730,0.4205,-0.2725,0.8872
48749,0.4205,-0.2725,0.8872
48766,0.4205,-0.2725,0.8872
48814,0.4204,-0.2725,0.8875
48837,0.4204,-0.2725,0.8875
48854,0.4204,-0.2723,0.8876
48876,0.4204,-0.2723,0.8876
48895,0.4204,-0.2723,0.8877
48925,0.4204,-0.2723,0.8877
48947,0.4204,-0.2723,0.8877
48964,0.4204,-0.2723,0.8877
49004,0.4204,-0.2722,0.8877
49024,0.4204,-0.2721,0.8877
49043,0.4205,-0.2721,0.8876
49066,0.4205,-0.2721,0.8876
49087,0.4205,-0.2721,0.8876
49109,0.4205,-0.2721,0.8876
49126,0.4205,-0.2722,0.8876
49149,0.4207,-0.2723,0.8876
49166,0.4207,-0.2725,0.8876
49223,0.4207,-0.2733,0.8876
49248,0.4207,-0.2736,0.8876
49270,0.4205,-0.2740,0.8876
49292,0.4205,-0.2742,0.8876
49309,0.4205,-0.2744,0.8876
49332,0.4205,-0.2745,0.8876
49349,0.4205,-0.2747,0.8876
49367,0.4204,-0.2747,0.8876
49412,0.4204,-0.2747,0.8876
49437,0.4203,-0.2745,0.8876
49460,0.4203,-0.2744,0.8875
49481,0.4203,-0.2743,0.8875
49505,0.4203,-0.2739,0.8875
49528,0.4203,-0.2738,0.8873
49550,0.4203,-0.2736,0.8873
49593,0.4203,-0.2733,0.8873
49616,0.4203,-0.2732,0.8873
49633,0.4203,-0.2731,0.8875
49657,0.4203,-0.2729,0.8875
49679,0.4203,-0.2728,0.8875
49696,0.4203,-0.2728,0.8875
49718,0.4202,-0.2727,0.8876
49741,0.4202,-0.2727,0.8876
49758,0.4202,-0.2726,0.8877
49775,0.4202,-0.2726,0.8877
49797,0.4202,-0.2726,0.8877
49847,0.4200,-0.2726,0.8877
49869,0.4200,-0.2726,0.8877
49886,0.4200,-0.2726,0.8877
49909,0.4200,-0.2726,0.8877
49931,0.4200,-0.2726,0.8877
49956,0.4200,-0.2726,0.8877
49981,0.4200,-0.2725,0.8878
50002,0.4200,-0.2725,0.8878
50034,0.4200,-0.2725,0.8878
50054,0.4200,-0.2725,0.8878
50076,0.4200,-0.2725,0.8879
50096,0.4202,-0.2725,0.8879
50119,0.4202,-0.2726,0.8879
50143,0.4203,-0.2727,0.8879
50165,0.4203,-0.2728,0.8878
50182,0.4203,-0.2729,0.8878
50247,0.4205,-0.2737,0.8877
50270,0.4207,-0.2738,0.8876
50292,0.4207,-0.2742,0.8875
50315,0.4208,-0.2743,0.8875
50339,0.4208,-0.2744,0.8873
50361,0.4209,-0.2745,0.8873
50386,0.4209,-0.2747,0.8873
50431,0.4209,-0.2747,0.8875
50456,0.4209,-0.2745,0.8876
50479,0.4208,-0.2744,0.8877
50501,0.4208,-0.2743,0.8877
50523,0.4207,-0.2739,0.8879
50546,0.4207,-0.2738,0.8879
50572,0.4207,-0.2734,0.8881
50591,0.4205,-0.2733,0.8881
